Nr.,Vaiko gimimo metai,Prašymo pateikimo data,Vaiko priėmimo į grupę data,Deklaruotas mieste,Atitinka priskirta teritorija,Vaiko seniunija,Deklaruota gyvenamoji vieta
15634,2012,2012-05-21,2014-08-29,Taip,Taip,Verkių,Vilnius
15635,2011,2011-08-25,2013-06-26,Taip,Taip,Verkių,Vilnius
15636,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15637,2011,2011-11-05,2014-07-17,Taip,Taip,Verkių,Vilnius
15638,2009,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15639,2008,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15640,2011,2011-08-17,2013-06-26,Taip,Taip,Verkių,Vilnius
15641,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15642,2010,2011-11-02,2013-07-01,Taip,Taip,Verkių,Vilnius
15643,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15644,2012,2012-05-16,2014-05-23,Taip,Taip,Verkių,Vilnius
15645,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15646,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15647,2009,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15648,2008,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15649,2012,2014-01-15,2014-06-01,Taip,Taip,Verkių,Vilnius
15650,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15651,2009,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15652,2009,2012-07-18,2010-09-01,Taip,Taip,Verkių,Vilnius
15653,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15654,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,
15655,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15656,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15657,2009,2012-07-18,2011-11-01,Taip,Taip,Verkių,Vilnius
15658,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15659,2011,2011-07-18,2013-06-21,Taip,Taip,Verkių,Vilnius
15660,2008,2012-07-18,2012-03-30,Taip,Taip,Verkių,Vilnius
15661,2011,2012-02-13,2013-07-01,Taip,Taip,Verkių,Vilnius
15662,2011,2011-08-31,2013-06-21,Taip,Taip,Verkių,Vilnius
15663,2009,2012-07-18,2011-11-03,Taip,Taip,Naujamiesčio,Vilnius
15664,2008,2011-01-10,2013-06-25,Taip,Taip,Verkių,Vilnius
15665,2009,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15666,2011,2012-07-18,2012-09-01,Taip,Taip,Naujamiesčio,Vilnius
15667,2010,2012-06-25,2012-09-01,Taip,Taip,Verkių,Vilnius
15668,2008,2012-07-18,2010-09-01,Taip,Taip,Verkių,Vilnius
15669,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15670,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15671,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15672,2010,2012-07-18,2011-09-30,Taip,Taip,Verkių,Vilnius
15673,2012,2012-02-09,2013-08-26,Taip,Taip,Fabijoniškių,Vilnius
15674,2011,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15675,2008,2012-07-18,2011-09-01,Taip,Taip,Verkių,Vilnius
15676,2010,2012-07-18,2012-09-01,Taip,Taip,Verkių,Vilnius
15677,2013,2014-10-24,2014-10-24,Taip,Taip,,Vilnius
15678,2013,2014-04-28,2014-05-30,Taip,Taip,Naujininkų,Vilnius
15679,2011,2013-04-25,2013-07-01,Ne,Ne,,
15680,2011,2013-02-14,2013-07-01,Ne,Ne,,
15681,2010,2012-10-24,2012-10-24,Taip,Taip,Naujamiesčio,Vilnius
15682,2012,2014-01-10,2014-05-28,Taip,Taip,Žirmūnų,Vilnius
15683,2010,2012-10-10,2012-11-15,Ne,Ne,,
15684,2012,2014-01-11,2014-05-23,Taip,Taip,Rasų,Vilnius
15685,2013,2014-01-17,2014-06-01,Taip,Taip,Verkių,Vilnius
15686,2009,2013-04-16,2013-05-01,Taip,Taip,Naujininkų,Vilnius
15687,2013,2014-01-11,2014-05-31,Taip,Taip,Fabijoniškių,Vilnius
15688,2012,2014-01-10,2014-05-28,Taip,Taip,Pašilaičių,Vilnius
15689,2011,2012-12-20,2013-07-01,Ne,Ne,,
15690,2012,2014-01-16,2014-05-30,Ne,Taip,Panerių,
15691,2010,2013-02-15,2013-06-27,Taip,Taip,Antakalnio,Vilnius
15692,2011,2012-12-12,2012-12-18,Ne,Ne,,
15693,2009,2014-09-17,2014-09-18,Ne,Taip,Rasų,
15694,2010,2013-01-03,2013-06-27,Taip,Taip,Šeškinės,Vilnius
15695,2011,2013-02-14,2013-07-01,Ne,Ne,,
15696,2012,2014-01-10,2014-05-29,Taip,Taip,Fabijoniškių,Vilnius
15697,2009,2012-09-04,2012-09-10,Taip,Taip,Antakalnio,Vilnius
15698,2010,2012-12-26,2013-01-02,Taip,Taip,Rasų,Vilnius
15699,2011,2013-03-08,2013-09-01,Taip,Taip,Antakalnio,Vilnius
15700,2011,2012-12-21,2013-09-01,Ne,Ne,,
15701,2009,2013-07-02,2013-09-01,Ne,Ne,,
