"ID","LABEL","CHILDSCOUNT","TYPE","SCHOOL_ID"
"17","PELĖDŽIUKAI","0","Nuo 5 iki 6 metų","50"
"21","BORUŽĖLĖS","0","Nuo 4 iki 5 metų","50"
"25","PAGRANDUKAI","0","Nuo 1,5 iki 3 metų","50"
"26","NYKŠTUKAI","0","Nuo 1,5 iki 3 metų","50"
"27","NAUJA (LOPŠELIS)","12","Nuo 1,5 iki 3 metų","50"
"28","NAUJA (LOPŠELIS)","14","Nuo 1,5 iki 3 metų","50"
"29","NAUJA DARŽELIS","16","Nuo 3 iki 4 metų","50"
"2","ĄŽUOLIUKAI","0","Nuo 4 iki 5 metų","51"
"3","ŽVIRBLIUKAI","0","Nuo 5 iki 6 metų","51"
"4","RASELĖS","18","Nuo 5 iki 6 metų","51"
"6","SAULUTĖ","0","Nuo 5 iki 7 metų","51"
"7","PELĖDŽIUKAI","19","Nuo 6 iki 7 metų","51"
"8","DRUGELIAI","0","Nuo 3 iki 5 metų","51"
"10","VARPELIAI","0","Nuo 4 iki 5 metų","51"
"12","BORUŽĖLĖS","0","Nuo 3 iki 4 metų","51"
"13","NYKŠTUKAI","0","Nuo 3 iki 4 metų","51"
"20","BITUTĖS","0","Nuo 1,5 iki 3 metų","51"
"21","RAMUNĖLĖS","0","Nuo 1,5 iki 3 metų","51"
"22","NAUJA (LOPŠELIS)","15","Nuo 1,5 iki 3 metų","51"
"23","NAUJA (LOPŠELIS)","15","Nuo 1,5 iki 3 metų","51"
"1","ŽIRNIUKAI","20","Nuo 3 iki 5 metų","52"
"2","LAŠIUKAI","0","Nuo 3 iki 7 metų","52"
"3","PABIRUČIAI","20","Nuo 5 iki 6 metų","52"
"4","BITUTĖS","7","Nuo 6 iki 7 metų","52"
"5","BURATINO","0","Nuo 1,5 iki 3 metų","52"
"9","VIŠČIUKŲ","0","Nuo 1,5 iki 3 metų","52"
"10","NAUJA DARŽELIS","12","Nuo 3 iki 4 metų","52"
"11","NAUJA DARŽELIS","10","Nuo 3 iki 7 metų","52"
"1","Skruzdėliukų","11","Nuo 6 iki 7 metų","53"
"4","Nykštukų","0","Nuo 5 iki 6 metų","53"
"5","Bitučių","0","Nuo 4 iki 5 metų","53"
"6","Kačiukų","0","Nuo 4 iki 5 metų","53"
"7","Pelėdžiukų","0","Nuo 5 iki 6 metų","53"
"8","Drugelių","0","Nuo 5 iki 6 metų","53"
"12","Saulučių","10","Nuo 6 iki 7 metų","53"
"14","Paukštelių","0","Nuo 3 iki 4 metų","53"
"15","Obuoliukų","0","Nuo 3 iki 4 metų","53"
"16","KIŠKUČIŲ","0","Nuo 3 iki 4 metų","53"
"17","Meškučių","0","Nuo 3 iki 4 metų","53"
"18","Pagrandukai","0","Nuo 1,5 iki 3 metų","53"
"19","Boružėlių","0","Nuo 1,5 iki 3 metų","53"
"20","NAUJA (LOPŠELIS)","0","Nuo 1,5 iki 3 metų","53"
"1","PAPŪGĖLĖS","0","Nuo 3 iki 4 metų","54"
"2","SPINDULIUKAI","0","Nuo 3 iki 4 metų","54"
"3","LAŠIUKAI","0","Nuo 5 iki 6 metų","54"
"4","GAIDŽIUKAI","0","Nuo 5 iki 6 metų","54"
"5","MEŠKUČIAI","15","Nuo 6 iki 7 metų","54"
"6","DRUGELIAI","19","Nuo 5 iki 6 metų","54"
"8","KAČIUKAI","0","Nuo 3 iki 4 metų","54"
"10","KIŠKUČIAI","0","Nuo 3 iki 4 metų","54"
"13","VYTURIUKAI","11","Nuo 5 iki 6 metų","54"
"15","BORUŽĖLĖS","0","Nuo 3 iki 4 metų","54"
"17","EŽIUKAI","0","Nuo 4 iki 5 metų","54"
"21","VIŠČIUKAI","0","Nuo 1,5 iki 3 metų","54"
"22","SAULĖS ZUIKUČIAI","0","Nuo 1,5 iki 3 metų","54"
"26","NAUJA (LOPŠELIS)","15","Nuo 1,5 iki 3 metų","54"
"27","NAUJA (LOPŠELIS)","7","Nuo 1,5 iki 3 metų","54"
"28","NAUJA DARŽELIS","0","Nuo 3 iki 4 metų","54"
"1","Aviliukas","0","Nuo 4 iki 5 metų","55"
"2","LapiukaI","0","Nuo 3 iki 4 metų","55"
"3","Voveriukai","0","Nuo 4 iki 5 metų","55"
"5","Grybukai","10","Nuo 6 iki 7 metų","55"
"6","Riešutėliai","0","Nuo 5 iki 6 metų","55"
"7","Meškiukai","9","Nuo 6 iki 7 metų","55"
"9","Uogelės","20","Nuo 3 iki 4 metų","55"
"11","Šaltinėlis","0","Nuo 5 iki 6 metų","55"
"12","Boružėlės","0","Nuo 1,5 iki 3 metų","55"
"13","Gandriukai","18","Nuo 3 iki 4 metų","55"
"15","ŽVIRBLIUKAI","18","Nuo 3 iki 4 metų","55"
"17","Kiškeliai","0","Nuo 1,5 iki 3 metų","55"
"19","NAUJA (LOPŠELIS)","13","Nuo 1,5 iki 3 metų","55"
"20","NAUJA (LOPŠELIS)","12","Nuo 1,5 iki 3 metų","55"
"21","NAUJA DARŽELIS","15","Nuo 3 iki 4 metų","55"
"1","Gandriukų","19","Nuo 4 iki 5 metų","56"
"2","Saulės zuikučių","0","Nuo 5 iki 6 metų","56"
"3","Pelėdžiukų","0","Nuo 5 iki 6 metų","56"
"4","BITUČIŲ","12","Nuo 6 iki 7 metų","56"
"7","Boružėlių","0","Nuo 3 iki 4 metų","56"
"13","Drugeliai","0","Nuo 1,5 iki 3 metų","56"
"14","NAUJA (LOPŠELIS)","13","Nuo 1,5 iki 3 metų","56"
"3","SVAJONĖLĖS","0","Nuo 6 iki 7 metų","57"
"4","KIŠKUČIAI","0","Nuo 5 iki 6 metų","57"
"5","SMALSUČIAI","0","Nuo 5 iki 6 metų","57"
"19","GUDRUČIŲ","0","Nuo 4 iki 5 metų","57"
"14","DRUGELIAI","0","Nuo 4 iki 5 metų","57"
"15","VOVERIUKAI","0","Nuo 4 iki 5 metų","57"
"17","BITUTĖS","0","Nuo 3 iki 4 metų","57"
"18","KATINĖLIAI","0","Nuo 3 iki 4 metų","57"
"22","NYKŠTUKAI","0","Nuo 1,5 iki 3 metų","57"
"23","SPINDULIUKAI","0","Nuo 3 iki 4 metų","57"
"24","BORUŽĖLĖS","0","Nuo 1,5 iki 3 metų","57"
"26","ŽIRNIUKAI","0","Nuo 3 iki 4 metų","57"
"27","NAUJA (LOPŠELIS)","13","Nuo 1,5 iki 3 metų","57"
"28","NAUJA (LOPŠELIS)","14","Nuo 1,5 iki 3 metų","57"
"1","Ąžuoliukai","0","Nuo 4 iki 5 metų","58"
"2","Žiogeliai","0","Nuo 4 iki 5 metų","58"
"3","Pelėdžiukų","0","Nuo 5 iki 6 metų","58"
"5","Boružėlių","11","Nuo 6 iki 7 metų","58"
"6","Bitučių","10","Nuo 6 iki 7 metų","58"
"11","Skruzdeliukų","0","Nuo 5 iki 6 metų","58"
"17","Drugelių","0","Nuo 3 iki 4 metų","58"
"18","Žibučių","20","Nuo 3 iki 4 metų","58"
"23","Zuikučių","19","Nuo 3 iki 5 metų","58"
"24","Viščiukų","0","Nuo 1,5 iki 3 metų","58"
"25","Meškiukų","0","Nuo 1,5 iki 3 metų","58"
"26","Gandriukų","18","Nuo 3 iki 4 metų","58"
"28","NAUJA (LOPŠELIS)","0","Nuo 1,5 iki 3 metų","58"
"2","PAGRANDUKAS","0","Nuo 5 iki 6 metų","59"
"3","NYKŠTUKAS","0","Nuo 3 iki 4 metų","59"
"7","BITUTĖ","0","Nuo 5 iki 6 metų","59"
"8","BORUŽĖLĖ","0","Nuo 6 iki 7 metų","59"
"10","UOGELĖ","0","Nuo 6 iki 7 metų","59"
"12","GINTARĖLIS","0","Nuo 3 iki 4 metų","59"
"14","SAULUTĖ","0","Nuo 4 iki 5 metų","59"
"18","TIGRIUKAS","0","Nuo 3 iki 6 metų","59"
"19","VAIVORYKŠTĖ","0","Nuo 4 iki 5 metų","59"
"22","AUKSINĖ ŽUVELĖ","0","Nuo 5 iki 7 metų","59"
"24","RAMUNĖ","0","Nuo 1,5 iki 3 metų","59"
"26","NAUJA (LOPŠELIS)","0","Nuo 1,5 iki 3 metų","59"
"27","NAUJA DARŽELIS","13","Nuo 3 iki 4 metų","59"
"28","NAUJA DARŽELIS","15","Nuo 3 iki 4 metų","59"
"1","NYKŠTUKAI","0","Nuo 3 iki 5 metų","60"
"2","DRUGELIAI","0","Nuo 5 iki 6 metų","60"
"4","KIŠKUČIAI","0","Nuo 1,5 iki 3 metų","60"
"5","BITUTĖS","0","Nuo 3 iki 6 metų","60"
"6","MEŠKIUKAI","20","Nuo 3 iki 6 metų","60"
"11","BORUŽĖLĖS","0","Nuo 1,5 iki 3 metų","60"
"12","NAUJA DARŽELIS","5","Nuo 3 iki 4 metų","60"
"13","NAUJA (LOPŠELIS)","12","Nuo 1,5 iki 3 metų","60"
"1","SPINDULIUKAI","0","Nuo 4 iki 5 metų","61"
"2","BORUŽĖLĖS","18","Nuo 5 iki 6 metų","61"
"4","DRUGELIŲ","9","Nuo 6 iki 7 metų","61"
"8","BITUTĖS (VALDOFRO)","0","Nuo 2 iki 6 metų","61"
"7","EŽIUKAI","0","Nuo 3 iki 4 metų","61"
"10","NYKŠTUKAI","0","Nuo 1,5 iki 3 metų","61"
"12","NAUJA (LOPŠELIS)","10","Nuo 1,5 iki 3 metų","61"
"1","Saulutės","0","Nuo 4 iki 5 metų","62"
"2","Nežiniukai","0","Nuo 4 iki 5 metų","62"
"3","Gintarėliai","0","Nuo 5 iki 6 metų","62"
"4","Šnekučiai","0","Nuo 5 iki 6 metų","62"
"5","Pabiručiai","19","Nuo 6 iki 7 metų","62"
"6","Smalsučiai","0","Nuo 6 iki 7 metų","62"
"12","Giliukai","0","Nuo 3 iki 4 metų","62"
"13","Gudručiai","0","Nuo 3 iki 4 metų","62"
"16","Žirniukai","0","Nuo 1,5 iki 3 metų","62"
"17","Katinėliai","0","Nuo 1,5 iki 3 metų","62"
"18","Nykštukai","0","Nuo 1,5 iki 3 metų","62"
"19","NAUJA (LOPŠELIS)","0","Nuo 1,5 iki 3 metų","62"
"20","NAUJA DARŽELIS","10","Nuo 3 iki 4 metų","62"
"5","Gėlytės","17","Nuo 5 iki 7 metų","63"
"6","Paukšteliai","0","Nuo 3 iki 5 metų","63"
"7","Spindulėliai","22","Nuo 3 iki 7 metų","63"
"10","BORUŽĖLĖS","0","Nuo 1,5 iki 3 metų","63"
"11","NAUJA (LOPŠELIS)","15","Nuo 1,5 iki 3 metų","63"
"12","NAUJA DARŽELIS","10","Nuo 3 iki 5 metų","63"
"1","Viščiukų","0","Nuo 1,5 iki 3 metų","64"
"2","Gėlyčių","0","Nuo 3 iki 4 metų","64"
"3","Drugelių","0","Nuo 4 iki 5 metų","64"
"4","Pelyčių","10","Nuo 5 iki 7 metų","64"
"9","NAUJA (LOPŠELIS)","10","Nuo 1,5 iki 3 metų","64"
"2","Saulutės","20","Nuo 4 iki 5 metų","65"
"3","Peledžiukai","0","Nuo 5 iki 7 metų","65"
"5","Gelytės","20","Nuo 3 iki 4 metų","65"
"8","Bitutės","0","Nuo 1,5 iki 3 metų","65"
"9","NAUJA (LOPŠELIS)","10","Nuo 1,5 iki 3 metų","65"
"3","Saulutės","0","Nuo 6 iki 7 metų","66"
"4","Nykštukai","0","Nuo 3 iki 4 metų","66"
"5","Bitutės","0","Nuo 6 iki 7 metų","66"
"6","Pūkeliai","0","Nuo 4 iki 5 metų","66"
"7","Aitvariukai","0","Nuo 4 iki 5 metų","66"
"10","Boružiukai","0","Nuo 5 iki 6 metų","66"
"13","KIŠKUČIAI (SAV.)","0","Nuo 3 iki 5 metų","66"
"14","Žiogeliai","0","Nuo 5 iki 6 metų","66"
"16","SPINDULIUKAI","20","Nuo 3 iki 4 metų","66"
"17","Pėledžiukai","0","Nuo 3 iki 4 metų","66"
"19","Katinėliai","0","Nuo 1,5 iki 3 metų","66"
"20","Deimantėliai","0","Nuo 1,5 iki 3 metų","66"
"21","NAUJA (LOPŠELIS)","18","Nuo 1,5 iki 3 metų","66"
"22","NAUJA (LOPŠELIS)","0","Nuo 1,5 iki 3 metų","66"
"23","NAUJA DARŽELIS","9","Nuo 3 iki 4 metų","66"
"1","VIŠČIUKAI","0","Nuo 3 iki 4 metų","67"
"2","ŠYPSENA","0","Nuo 4 iki 5 metų","67"
"3","NYKŠTUKAI","0","Nuo 5 iki 6 metų","67"
"5","SAULUTĖ","7","Nuo 6 iki 7 metų","67"
"7","BORUŽĖLĖS","0","Nuo 1,5 iki 3 metų","67"
"8","SKRUZDELIUKAI","0","Iki 1,5 metų","67"
"9","NAUJA (LOPŠELIS)","10","Iki 1,5 metų","67"
"3","BITUTĖS","0","Nuo 5 iki 6 metų","68"
"4","EŽIUKAI","0","Nuo 4 iki 5 metų","68"
"5","BORUŽIUKAI","0","Nuo 3 iki 4 metų","68"
"6","KAČIUKAI","0","Nuo 4 iki 5 metų","68"
"7","VOVERIUKAI","0","Nuo 6 iki 7 metų","68"
"8","RIEŠUTĖLIAI","0","Nuo 4 iki 5 metų","68"
"9","ANČIUKAI","19","Nuo 3 iki 4 metų","68"
"13","GUDRUČIAI","0","Nuo 6 iki 7 metų","68"
"14","MEŠKIUKAI","0","Nuo 1,5 iki 3 metų","68"
"15","NAUJA (LOPŠELIS)","10","Nuo 1,5 iki 3 metų","68"
"16","NAUJA DARŽELIS","10","Nuo 3 iki 4 metų","68"
"17","NAUJA DARŽELIS","10","Nuo 4 iki 5 metų","68"
"4","Ramunėlės","15","Nuo 5 iki 7 metų","69"
"5","Zuikučiai","20","Nuo 4 iki 5 metų","69"
"7","Nykštukai","12","Nuo 5 iki 7 metų","69"
"8","Žvirbliukai","20","Nuo 3 iki 4 metų","69"
"9","Meškiukai","0","Nuo 3 iki 4 metų","69"
"10","VARPELIAI (SAV.)","0","Nuo 4 iki 6 metų","69"
"11","SAULUTĖ","14","Nuo 1,5 iki 3 metų","69"
"12","NAUJA (LOPŠELIS)","15","Nuo 1,5 iki 3 metų","69"
"1","Giliukai","0","Nuo 4 iki 5 metų","70"
"4","Saulutė","19","Nuo 5 iki 7 metų","70"
"5","Nykštukai","0","Nuo 3 iki 4 metų","70"
"7","Daigiukai","0","Nuo 1,5 iki 3 metų","70"
"8","NAUJA (LOPŠELIS)","15","Nuo 1,5 iki 3 metų","70"
"1","Bitutės","20","Nuo 5 iki 6 metų","71"
"2","Geniukų","20","Nuo 4 iki 5 metų","71"
"3","Drugelių","20","Nuo 4 iki 5 metų","71"
"5","Gandriukų","0","Nuo 5 iki 6 metų","71"
"8","Žiogelių","0","Nuo 5 iki 6 metų","71"
"13","Peliukų","19","Nuo 3 iki 4 metų","71"
"14","Ežiukų","0","Nuo 3 iki 4 metų","71"
"24","Kiškučių","0","Nuo 1,5 iki 3 metų","71"
"25","Pelėdžiukai","15","Nuo 1,5 iki 3 metų","71"
"26","Boružėlių","0","Nuo 1,5 iki 3 metų","71"
"27","Žvirbliukai","0","Nuo 6 iki 7 metų","71"
"28","Voveriukų","0","Nuo 6 iki 7 metų","71"
