ID;PLAN_ID;GROUP_ID;LABEL;REL_EDUCATION;GROUP_TYPE;AGE_TYPE;WILL_ACCEPT
1348;199;0;NAUJA;5;1;1;33
1349;199;0;NAUJA;5;1;6;11
1350;199;0;NAUJA;5;1;8;4
1351;288;0;"LOPŠELIO PAP.";5;1;3;10
1352;288;0;DARŽELIS;5;2;6;52
1353;288;0;"PRIEŠMOKYKLINĖ PAP.";5;3;9;4
1354;289;9;;0;0;0;15
1355;289;14;;0;0;0;10
1356;289;4;;0;0;0;13
1357;290;0;;5;1;3;30
1358;290;0;;5;2;6;20
1359;290;0;;5;2;7;1
1360;290;0;;5;3;9;7
1361;291;1;;0;0;0;3
1362;291;2;;0;0;0;5
1363;292;1;;0;0;0;12
1364;292;2;;0;0;0;4
1365;293;0;;5;1;3;15
1366;293;0;;5;2;6;2
1367;293;0;;5;3;11;2
1368;294;11;;0;0;0;5
1369;294;15;;0;0;0;4
1370;295;10;;0;0;0;11
1371;295;5;;0;0;0;2
1372;296;17;;0;0;0;13
1373;296;15;;0;0;0;10
1374;296;16;;0;0;0;15
1375;296;5;;0;0;0;3
1376;296;11;;0;0;0;1
1377;297;21;;0;0;0;45
1378;297;5;;0;0;0;6
1379;297;14;;0;0;0;1
1380;298;19;;0;0;0;12
1381;298;21;;0;0;0;13
1382;298;20;;0;0;0;12
1383;299;15;;0;0;0;15
1384;299;25;;0;0;0;15
1385;299;1;;0;0;0;4
1386;299;6;;0;0;0;4
1387;299;11;;0;0;0;2
1388;300;23;;0;0;0;30
1389;300;2;;0;0;0;10
1390;300;8;;0;0;0;10
1391;300;4;;0;0;0;10
1392;257;25;;0;0;0;18
1393;301;11;;0;0;0;13
1394;301;6;;0;0;0;2
1395;301;0;KIŠKUČIAI;24;2;10;4
1396;301;0;BITUTĖS;24;3;11;3
1397;301;0;DRUGELIAI;5;3;11;6
